image,ground_truth,prediction,CER_formula,CER_score
test028_2.jpg,L1436AAA,L14386AAA,CER = (0 + 0 + 1) / 8,0.125
test029_1.jpg,W1518WF,NW15161,CER = (3 + 0 + 1) / 7,0.571
test029_2.jpg,G1986N,G196,CER = (0 + 2 + 0) / 6,0.333
test029_3.jpg,L1588OO,1680,CER = (4 + 1 + 0) / 7,0.714
test029_4.jpg,L1436AAA,1436AAA,CER = (0 + 1 + 0) / 8,0.125
test030_1.jpg,S8062NF,S80062,CER = (0 + 2 + 1) / 7,0.429
test030_2.jpg,G1894TE,1894,CER = (0 + 3 + 0) / 7,0.429
test031_1.jpg,L1560JQ,JQ0,CER = (0 + 5 + 1) / 7,0.857
test031_2.jpg,L1568QO,16806,CER = (2 + 2 + 0) / 7,0.571
test031_3.jpg,L1932AAZ,AZ1932,CER = (2 + 3 + 0) / 8,0.625
test032_1.jpg,B2754SKY,B21756SKY,CER = (1 + 0 + 1) / 8,0.25
test032_2.jpg,W1192K,W1102,CER = (1 + 1 + 0) / 6,0.333
test033_1.jpg,L4561VK,450301,CER = (3 + 3 + 0) / 7,0.857
test033_2.jpg,L2693GA,L12059,CER = (2 + 3 + 1) / 7,0.857
test033_3.jpg,W9847G,W8746,CER = (2 + 1 + 1) / 6,0.667
test033_4.jpg,L1762ABJ,LV76282,CER = (4 + 0 + 0) / 8,0.5
test034_1.jpg,L1811SU,L1811S,CER = (0 + 1 + 0) / 7,0.143
test034_2.jpg,W1167VO,V187,CER = (3 + 2 + 0) / 7,0.714
test034_3.jpg,S6131OCF,S6154A,CER = (5 + 0 + 0) / 8,0.625
test034_4.jpg,L2570AAD,L2570AD,CER = (0 + 1 + 0) / 8,0.125
test035_1.jpg,L9643NN,906235,CER = (3 + 1 + 1) / 7,0.714
test035_2.jpg,L5247GI,5271LG,CER = (0 + 3 + 2) / 7,0.714
test035_3.jpg,L2498AAM,L2739,CER = (2 + 4 + 0) / 8,0.75
test035_4.jpg,W1696YO,YOG,CER = (0 + 5 + 1) / 7,0.857
test036_1.jpg,B1231JJA,123456JA,CER = (3 + 1 + 0) / 8,0.5
test036_2.jpg,B1618UAE,D16888,CER = (4 + 1 + 0) / 8,0.625
test037_1.jpg,L1775VO,VL1776,CER = (3 + 0 + 1) / 7,0.571
test037_2.jpg,L300RX,RX300,CER = (2 + 2 + 0) / 6,0.667
test037_3.jpg,L1879VG,L1876,CER = (3 + 0 + 0) / 7,0.429
test038_1.jpg,D1523YCN,162823YNCN,CER = (3 + 1 + 1) / 8,0.625
test038_2.jpg,L1877ACU,1877AUC,CER = (0 + 2 + 1) / 8,0.375
test039_1.jpg,L1069VK,1069,CER = (0 + 3 + 0) / 7,0.429
test040_1.jpg,S1595LL,S1590,CER = (3 + 0 + 0) / 7,0.429
test041_1.jpg,B1231JJA,123456,CER = (4 + 1 + 0) / 8,0.625
test042_1.jpg,AD1174SF,AD1712S,CER = (2 + 1 + 1) / 8,0.5
test043_1.jpg,W1898YW,W1898,CER = (0 + 2 + 0) / 7,0.286
test043_2.jpg,W1470PG,WL1401,CER = (2 + 1 + 1) / 7,0.571
test044_1.jpg,L1930KF,KLF1930,CER = (0 + 2 + 2) / 7,0.571
test044_2.jpg,N1004HE,NH104,CER = (0 + 3 + 1) / 7,0.571
test045_1.jpg,S1347LJ,S1347,CER = (0 + 2 + 0) / 7,0.286
test046_1.jpg,L1470ABK,ABK,CER = (0 + 5 + 0) / 8,0.625
test046_2.jpg,L1265MX,L12675MX,CER = (0 + 0 + 1) / 7,0.143
test047_1.jpg,N1524SY,N15234SY,CER = (0 + 0 + 1) / 7,0.143
test047_2.jpg,L1678ACE,L1678ACE,CER = (0 + 0 + 0) / 8,0
test048_1.jpg,L9316BC,BC16,CER = (3 + 2 + 0) / 7,0.714
test048_2.jpg,W1838AY,W1838AY,CER = (0 + 0 + 0) / 7,0
test049_1.jpg,N1376DE,N1376,CER = (0 + 2 + 0) / 7,0.286
test049_2.jpg,N79AP,7.91045E+11,CER = (10 + 1 + 0) / 5,2.2
test050_1.jpg,L1265OF,L1765,CER = (1 + 2 + 0) / 7,0.429
test050_2.jpg,N1095G,10651963,CER = (2 + 1 + 3) / 6,1
test051_1.jpg,N1718HC,1718HC,CER = (0 + 1 + 0) / 7,0.143
test052_1.jpg,N6497KS,67480771KS,CER = (2 + 1 + 3) / 7,0.857
test052_2.jpg,N5235ABX,N5233AB,CER = (1 + 1 + 0) / 8,0.25
test052_3.jpg,N4980KJ,4980000,CER = (3 + 1 + 0) / 7,0.571
test053_1.jpg,N1365AAO,N13605AAA,CER = (1 + 0 + 1) / 8,0.25
test054_1.jpg,N1077AAK,AAR1077,CER = (3 + 3 + 0) / 8,0.75
test054_2.jpg,N1084AAO,N1087AAA,CER = (2 + 0 + 0) / 8,0.25
test055_1.jpg,N1610KS,1609KS,CER = (0 + 2 + 1) / 7,0.429
test056_1.jpg,N924CIA,CITA,CER = (0 + 4 + 1) / 7,0.714
test056_2.jpg,N1623HB,NH16232,CER = (2 + 0 + 1) / 7,0.429
test056_3.jpg,L1430HF,L143,CER = (0 + 3 + 0) / 7,0.429
test057_1.jpg,N1342T,N1342,CER = (0 + 1 + 0) / 6,0.167
test057_2.jpg,N4145AB,N152,CER = (2 + 2 + 0) / 7,0.571
test057_3.jpg,N1396AAH,AHAAA,CER = (6 + 0 + 0) / 8,0.75
test058_1.jpg,N3153ACB,N31356A,CER = (1 + 2 + 1) / 8,0.5
test058_2.jpg,N5829KJ,5682KJ,CER = (0 + 2 + 1) / 7,0.429
test058_3.jpg,N1780JL,N17800JL,CER = (0 + 0 + 1) / 7,0.143
test059_1.jpg,W8774PA,W8764PA,CER = (1 + 0 + 0) / 7,0.143
test059_2.jpg,B9162FXU,B9101234,CER = (5 + 0 + 0) / 8,0.625
test060_1.jpg,L1846JE,JE,CER = (0 + 5 + 0) / 7,0.714
test060_2.jpg,M1457ITA,M14657ATA,CER = (1 + 0 + 1) / 8,0.25
test061_1.jpg,AA1971KJ,KJL,CER = (0 + 6 + 1) / 8,0.875
test061_2.jpg,BD1146DH,BD146,CER = (0 + 3 + 0) / 8,0.375
test062_1.jpg,B9654PEU,B9654,CER = (0 + 3 + 0) / 8,0.375
test062_2.jpg,AE7244S,AE721456S,CER = (2 + 0 + 1) / 7,0.429
test063_1.jpg,S1208BI,B1208,CER = (1 + 2 + 0) / 7,0.429
test064_1.jpg,AE8137G,AQE8171,CER = (1 + 1 + 1) / 7,0.429
test065_1.jpg,H1706SW,HW1706SW,CER = (0 + 0 + 1) / 7,0.143
test066_1.jpg,T1220HS,123456,CER = (4 + 1 + 0) / 7,0.714
test066_2.jpg,H1790ZY,HY1790ZY,CER = (0 + 0 + 1) / 7,0.143
test067_1.jpg,L1855BR,BR1856,CER = (5 + 0 + 0) / 7,0.714
test067_2.jpg,AB1274EV,AB1274EV,CER = (0 + 0 + 0) / 8,0
test068_1.jpg,B2310UZS,B2301,CER = (0 + 4 + 1) / 8,0.625
test068_2.jpg,G1264CM,G1265,CER = (3 + 0 + 0) / 7,0.429
test069_1.jpg,AA1138AK,AAA1380AKI,CER = (0 + 1 + 3) / 8,0.5
test070_1.jpg,B2160TOB,B21606,CER = (3 + 0 + 0) / 8,0.375
test070_2.jpg,B2597BYK,256907,CER = (0 + 4 + 2) / 8,0.75
test071_1.jpg,G9545AG,G9546A,CER = (1 + 1 + 0) / 7,0.286
test072_1.jpg,BG1870IB,18701970,CER = (4 + 2 + 0) / 8,0.75
test073_1.jpg,T1187HB,119076,CER = (4 + 1 + 0) / 7,0.714
test073_2.jpg,A1330FP,A1330,CER = (0 + 2 + 0) / 7,0.286
test074_1.jpg,G1368GE,G1368,CER = (0 + 2 + 0) / 7,0.286
test074_2.jpg,B1081CMR,10981CMR,CER = (0 + 1 + 1) / 8,0.25
test075_1.jpg,G2474XZ,62719,CER = (4 + 1 + 0) / 7,0.714
test075_2.jpg,G9173BP,G9173,CER = (0 + 2 + 0) / 7,0.286
test075_3.jpg,7066OF,1980,CER = (3 + 4 + 0) / 6,1.167
test076_1.jpg,G2151ASF,6.12302E+11,CER = (9 + 4 + 0) / 8,1.625
test076_2.jpg,E500MA,500000M,CER = (0 + 2 + 3) / 6,0.833
test076_3.jpg,G4689SN,C42089,CER = (3 + 2 + 0) / 7,0.714
test077_1.jpg,G1754QZ,61740,CER = (3 + 1 + 0) / 7,0.571
test078_1.jpg,H1413DH,DH1413,CER = (0 + 2 + 1) / 7,0.429
test079_1.jpg,T1688GY,1680,CER = (3 + 1 + 0) / 7,0.571
test079_2.jpg,A1260AJ,AJ12678C,CER = (3 + 0 + 1) / 7,0.571
test080_1.jpg,D77HSB,77HSB,CER = (0 + 1 + 0) / 6,0.167
test080_2.jpg,B1861TOI,B1861,CER = (0 + 3 + 0) / 8,0.375
test080_3.jpg,D1160ADE,AD1600ADE,CER = (0 + 1 + 2) / 8,0.375
test081_1.jpg,F8097BD,DG097,CER = (2 + 2 + 0) / 7,0.571
test081_2.jpg,F1992AM,F1987,CER = (4 + 0 + 0) / 7,0.571
test082_1.jpg,E1824YZ,YZ1824,CER = (2 + 2 + 0) / 7,0.571
test082_2.jpg,B9093UEX,B90305,CER = (3 + 1 + 0) / 8,0.5
test083_1.jpg,F5052AAE,F50572,CER = (0 + 3 + 1) / 8,0.5
test083_2.jpg,F5452CQ,F5652,CER = (1 + 2 + 0) / 7,0.429
test084_1.jpg,B1158PYP,181165YP,CER = (2 + 2 + 1) / 8,0.625
test084_2.jpg,B1242VOY,B1234VY,CER = (0 + 2 + 1) / 8,0.375
test085_1.jpg,B1315KIF,B13156,CER = (3 + 0 + 0) / 8,0.375
test085_2.jpg,B2938FVJ,BJ2036VF,CER = (3 + 2 + 1) / 8,0.75
test085_3.jpg,B2560SKZ,B20650SKZ,CER = (0 + 1 + 2) / 8,0.375
test086_1.jpg,B1291NOJ,B1291,CER = (0 + 3 + 0) / 8,0.375
test086_2.jpg,B1556NRC,B15650NRC,CER = (1 + 0 + 1) / 8,0.25
test087_1.jpg,B6823WXR,B60823WRX,CER = (0 + 1 + 2) / 8,0.375
test087_2.jpg,B6317NXK,6317177,CER = (3 + 1 + 0) / 8,0.5
test087_3.jpg,F2215FCQ,F2115,CER = (1 + 3 + 0) / 8,0.5
test087_4.jpg,4039NHR,4053939,CER = (3 + 0 + 1) / 7,0.571
test088_1.jpg,B2190TYB,DYB2190,CER = (0 + 3 + 2) / 8,0.625
test088_2.jpg,B1902VKA,VKA1902,CER = (3 + 3 + 0) / 8,0.75
test089_1.jpg,D8609N,608909,CER = (2 + 2 + 1) / 6,0.833
test089_2.jpg,A8406ZE,A84065,CER = (2 + 0 + 0) / 7,0.286
test089_3.jpg,B1246KRK,B12365,CER = (4 + 0 + 0) / 8,0.5
test090_1.jpg,T9314E,9031341,CER = (1 + 1 + 2) / 6,0.667
test090_2.jpg,N9579U,N0579UL,CER = (1 + 0 + 1) / 6,0.333
test091_1.jpg,B2910KZW,B2910KW,CER = (0 + 1 + 0) / 8,0.125
test091_2.jpg,B9721KXV,B972012,CER = (3 + 0 + 1) / 8,0.5
test092_1.jpg,B1104AAA,B110,CER = (0 + 4 + 0) / 8,0.5
test092_2.jpg,T1579FN,T15670,CER = (3 + 0 + 1) / 7,0.571
test092_3.jpg,B2346POC,23466,CER = (3 + 1 + 0) / 8,0.5
test093_1.jpg,B2026BIU,B202021,CER = (4 + 0 + 0) / 8,0.5
test094_1.jpg,G1255EJ,1256EJE,CER = (1 + 1 + 1) / 7,0.429
test095_1.jpg,B1201KAD,1201KAD,CER = (0 + 1 + 0) / 8,0.125
test095_2.jpg,B2310JUK,23310143,CER = (3 + 1 + 1) / 8,0.625
test095_3.jpg,B28YHH,B286YH,CER = (0 + 1 + 1) / 6,0.333
test096_1.jpg,B1354COJ,BJ1354CJ,CER = (0 + 1 + 1) / 8,0.25
test096_2.jpg,B1502NRO,B1504022,CER = (3 + 0 + 2) / 8,0.625
test097_1.jpg,B1650NOG,1650007,CER = (3 + 1 + 0) / 8,0.5
test097_2.jpg,B6354SVL,63540125,CER = (4 + 1 + 0) / 8,0.625
test098_1.jpg,B1779DOB,DG177,CER = (2 + 4 + 0) / 8,0.75
test099_1.jpg,B2017PBQ,PBOB,CER = (2 + 5 + 0) / 8,0.875
test099_2.jpg,B1892WZT,WZT18902,CER = (3 + 3 + 1) / 8,0.875
test100_1.jpg,B1071PRG,B1011071,CER = (0 + 3 + 3) / 8,0.75
test100_2.jpg,B2134PZJ,B8213,CER = (0 + 4 + 1) / 8,0.625
